Name,Line,Direction,Station from (A),From (RODS name),From (NLC),Station to (B),To (RODS name),To (NLC),Capacity,Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
Circle  Outer: Victoria to Sloane Square,Circle ,Outer,VICTORIA,Victoria,741,SLOANE SQUARE,Sloane Square,702,6488,1.05,1.75,2.00,2.00
Circle  Outer: Sloane Square to South Kensington,Circle ,Outer,SLOANE SQUARE,Sloane Square,702,SOUTH KENSINGTON,South Kensington,708,6488,1.22,2.00,2.98,2.50
Circle  Outer: South Kensington to Gloucester Road,Circle ,Outer,SOUTH KENSINGTON,South Kensington,708,GLOUCESTER ROAD,Gloucester Road,583,6488,0.74,1.48,2.02,2.54
Circle  Outer: Gloucester Road to High Street Kensington,Circle ,Outer,GLOUCESTER ROAD,Gloucester Road,583,HIGH STREET KENSINGTON,High Street Kensington,605,6488,0.93,2.23,3.98,2.92
Circle  Outer: High Street Kensington to Notting Hill Gate,Circle ,Outer,HIGH STREET KENSINGTON,High Street Kensington,605,NOTTING HILL GATE,Notting Hill Gate,663,6488,0.93,1.68,2.00,2.00
Circle  Outer: Notting Hill Gate to Bayswater,Circle ,Outer,NOTTING HILL GATE,Notting Hill Gate,663,BAYSWATER,Bayswater,517,6488,0.79,1.77,2.00,2.00
Circle  Outer: Bayswater to Paddington,Circle ,Outer,BAYSWATER,Bayswater,517,PADDINGTON (CIRCLE),Paddington,670,6488,0.98,1.63,2.45,2.01
Circle  Outer: Paddington to Edgware Road (Cir),Circle ,Outer,PADDINGTON (CIRCLE),Paddington,670,EDGWARE ROAD,Edgware Road (Cir),569,6488,0.82,2.15,3.71,3.72
District Westbound: Upminster to Upminster Bridge,District,Westbound,UPMINSTER,Upminster,736,UPMINSTER BRIDGE,Upminster Bridge,737,25950,1.24,2.08,2.00,2.03
District Westbound: Upminster Bridge to Hornchurch,District,Westbound,UPMINSTER BRIDGE,Upminster Bridge,737,HORNCHURCH,Hornchurch,610,25950,1.26,1.78,2.00,2.00
District Westbound: Hornchurch to Elm Park,District,Westbound,HORNCHURCH,Hornchurch,610,ELM PARK,Elm Park,571,25950,1.50,1.98,2.50,2.50
District Westbound: Elm Park to Dagenham East,District,Westbound,ELM PARK,Elm Park,571,DAGENHAM EAST,Dagenham East,555,25950,2.37,2.77,3.07,3.18
District Westbound: Dagenham East to Dagenham Heathway,District,Westbound,DAGENHAM EAST,Dagenham East,555,DAGENHAM HEATHWAY,Dagenham Heathway,556,25950,1.35,1.83,2.00,2.00
District Westbound: Dagenham Heathway to Becontree,District,Westbound,DAGENHAM HEATHWAY,Dagenham Heathway,556,BECONTREE,Becontree,518,25950,1.37,1.88,2.50,2.50
District Westbound: Becontree to Upney,District,Westbound,BECONTREE,Becontree,518,UPNEY,Upney,738,25950,1.87,2.33,2.50,2.50
District Westbound: Upney to Barking,District,Westbound,UPNEY,Upney,738,BARKING,Barking,514,25950,1.38,1.92,2.66,3.82
District Westbound: Barking to East Ham,District,Westbound,BARKING,Barking,514,EAST HAM,East Ham,566,25950,2.29,2.87,3.00,3.00
District Westbound: East Ham to Upton Park,District,Westbound,EAST HAM,East Ham,566,UPTON PARK,Upton Park,739,25950,1.40,2.00,2.50,2.50
District Westbound: Upton Park to Plaistow,District,Westbound,UPTON PARK,Upton Park,739,PLAISTOW,Plaistow,676,25950,1.29,1.93,2.00,2.01
District Westbound: Plaistow to West Ham,District,Westbound,PLAISTOW,Plaistow,676,WEST HAM,West Ham,757,25950,0.76,1.50,1.50,1.50
District Westbound: West Ham to Bromley-by-Bow,District,Westbound,WEST HAM,West Ham,757,BROMLEY BY BOW,Bromley-by-Bow,530,25950,1.37,2.12,2.00,2.00
District Westbound: Bromley-by-Bow to Bow Road,District,Westbound,BROMLEY BY BOW,Bromley-by-Bow,530,BOW ROAD,Bow Road,528,25950,1.01,2.23,2.50,2.50
District Westbound: Bow Road to Mile End,District,Westbound,BOW ROAD,Bow Road,528,MILE END,Mile End,642,25950,0.55,1.27,1.50,1.50
District Westbound: Mile End to Stepney Green,District,Westbound,MILE END,Mile End,642,STEPNEY GREEN,Stepney Green,715,25950,1.05,1.72,2.00,2.00
District Westbound: Stepney Green to Whitechapel,District,Westbound,STEPNEY GREEN,Stepney Green,715,WHITECHAPEL,Whitechapel,763,25950,1.00,2.63,3.54,3.51
District Westbound: Whitechapel to Aldgate East,District,Westbound,WHITECHAPEL,Whitechapel,763,ALDGATE EAST,Aldgate East,503,25950,0.82,2.18,2.46,2.05
District Westbound: Aldgate East to Tower Hill,District,Westbound,ALDGATE EAST,Aldgate East,503,TOWER HILL,Tower Hill,731,25950,0.80,1.87,3.03,3.65
District Westbound: Tower Hill to Bank / Monument,District,Westbound,TOWER HILL,Tower Hill,731,MONUMENT,Bank / Monument,513,25950,0.68,1.48,1.50,1.50
District Westbound: Bank / Monument to Cannon Street,District,Westbound,MONUMENT,Bank / Monument,513,CANNON STREET,Cannon Street,536,25950,0.34,0.88,1.00,1.00
District Westbound: Cannon Street to Mansion House,District,Westbound,CANNON STREET,Cannon Street,536,MANSION HOUSE,Mansion House,639,25950,0.31,0.93,1.50,1.50
District Westbound: Mansion House to Blackfriars,District,Westbound,MANSION HOUSE,Mansion House,639,BLACKFRIARS,Blackfriars,521,25950,0.61,1.22,1.50,1.50
District Westbound: Blackfriars to Temple,District,Westbound,BLACKFRIARS,Blackfriars,521,TEMPLE,Temple,724,25950,0.76,1.37,1.50,1.50
District Westbound: Temple to Embankment,District,Westbound,TEMPLE,Temple,724,EMBANKMENT,Embankment,542,25950,0.71,1.43,2.00,2.00
District Westbound: Embankment to Westminster,District,Westbound,EMBANKMENT,Embankment,542,WESTMINSTER,Westminster,761,25950,0.69,1.40,1.50,1.50
District Westbound: Westminster to St. James's Park,District,Westbound,WESTMINSTER,Westminster,761,ST JAMES PARK,St. James's Park,695,25950,0.76,1.52,1.50,1.50
District Westbound: St. James's Park to Victoria,District,Westbound,ST JAMES PARK,St. James's Park,695,VICTORIA,Victoria,741,25950,0.72,1.33,2.00,2.00
District Westbound: Victoria to Sloane Square,District,Westbound,VICTORIA,Victoria,741,SLOANE SQUARE,Sloane Square,702,25950,1.05,1.75,2.00,2.00
District Westbound: Sloane Square to South Kensington,District,Westbound,SLOANE SQUARE,Sloane Square,702,SOUTH KENSINGTON,South Kensington,708,25950,1.22,2.00,3.00,2.50
District Westbound: South Kensington to Gloucester Road,District,Westbound,SOUTH KENSINGTON,South Kensington,708,GLOUCESTER ROAD,Gloucester Road,583,25950,0.74,1.48,2.00,2.01
District Westbound: Gloucester Road to Earl's Court,District,Westbound,GLOUCESTER ROAD,Gloucester Road,583,EARLS COURT,Earl's Court,562,25950,0.93,1.82,3.04,3.59
District Westbound: Edgware Road (Cir) to Paddington,District,Westbound,EDGWARE ROAD,Edgware Road (Cir),569,PADDINGTON (CIRCLE),Paddington,670,25950,0.82,1.85,2.00,2.00
District Westbound: Paddington to Bayswater,District,Westbound,PADDINGTON (CIRCLE),Paddington,670,BAYSWATER,Bayswater,517,25950,0.98,1.65,2.00,2.00
District Westbound: Bayswater to Notting Hill Gate,District,Westbound,BAYSWATER,Bayswater,517,NOTTING HILL GATE,Notting Hill Gate,663,25950,0.79,1.47,2.00,2.00
District Westbound: Notting Hill Gate to High Street Kensington,District,Westbound,NOTTING HILL GATE,Notting Hill Gate,663,HIGH STREET KENSINGTON,High Street Kensington,605,25950,0.93,1.58,3.28,3.36
District Westbound: High Street Kensington to Earl's Court,District,Westbound,HIGH STREET KENSINGTON,High Street Kensington,605,EARLS COURT,Earl's Court,562,25950,1.26,2.72,4.11,3.82
District Westbound: Earl's Court to Kensington (Olympia),District,Westbound,EARLS COURT,Earl's Court,562,KENSINGTON (OLYMPIA),Kensington (Olympia),618,25950,1.54,3.08,3.00,3.00
District Westbound: Earl's Court to West Brompton,District,Westbound,EARLS COURT,Earl's Court,562,WEST BROMPTON,West Brompton,755,25950,0.60,1.42,1.50,1.50
District Westbound: West Brompton to Fulham Broadway,District,Westbound,WEST BROMPTON,West Brompton,755,FULHAM BROADWAY,Fulham Broadway,581,25950,0.84,1.55,1.50,1.50
District Westbound: Fulham Broadway to Parsons Green,District,Westbound,FULHAM BROADWAY,Fulham Broadway,581,PARSONS GREEN,Parsons Green,672,25950,0.79,1.50,2.00,2.00
District Westbound: Parsons Green to Putney Bridge,District,Westbound,PARSONS GREEN,Parsons Green,672,PUTNEY BRIDGE,Putney Bridge,678,25950,0.95,2.32,2.50,2.50
District Westbound: Putney Bridge to East Putney,District,Westbound,PUTNEY BRIDGE,Putney Bridge,678,EAST PUTNEY,East Putney,567,25950,1.11,2.18,2.00,2.00
District Westbound: East Putney to Southfields,District,Westbound,EAST PUTNEY,East Putney,567,SOUTHFIELDS,Southfields,705,25950,1.53,2.35,2.50,2.50
District Westbound: Southfields to Wimbledon Park,District,Westbound,SOUTHFIELDS,Southfields,705,WIMBLEDON PARK,Wimbledon Park,768,25950,1.45,2.05,2.50,2.51
District Westbound: Wimbledon Park to Wimbledon,District,Westbound,WIMBLEDON PARK,Wimbledon Park,768,WIMBLEDON,Wimbledon,767,25950,1.50,3.50,3.02,3.08
District Westbound: Earl's Court to West Kensington,District,Westbound,EARLS COURT,Earl's Court,562,WEST KENSINGTON,West Kensington,760,25950,0.90,1.62,2.00,2.00
District Westbound: West Kensington to Barons Court,District,Westbound,WEST KENSINGTON,West Kensington,760,BARONS COURT,Barons Court,516,25950,0.64,1.32,1.50,1.50
District Westbound: Barons Court to Hammersmith (Dis),District,Westbound,BARONS COURT,Barons Court,516,HAMMERSMITH (DISTRICT),Hammersmith (Dis),593,25950,0.68,1.33,1.50,1.50
District Westbound: Hammersmith (Dis) to Ravenscourt Park,District,Westbound,HAMMERSMITH (DISTRICT),Hammersmith (Dis),593,RAVENSCOURT PARK,Ravenscourt Park,682,25950,0.93,1.63,2.00,2.00
District Westbound: Ravenscourt Park to Stamford Brook,District,Westbound,RAVENSCOURT PARK,Ravenscourt Park,682,STAMFORD BROOK,Stamford Brook,713,25950,0.77,1.37,1.50,1.50
District Westbound: Stamford Brook to Turnham Green,District,Westbound,STAMFORD BROOK,Stamford Brook,713,TURNHAM GREEN,Turnham Green,734,25950,0.55,1.17,1.97,1.58
District Westbound: Turnham Green to Chiswick Park,District,Westbound,TURNHAM GREEN,Turnham Green,734,CHISWICK PARK,Chiswick Park,545,25950,0.95,1.58,2.00,2.00
District Westbound: Chiswick Park to Acton Town,District,Westbound,CHISWICK PARK,Chiswick Park,545,ACTON TOWN,Acton Town,500,25950,1.22,1.83,2.63,2.06
District Westbound: Acton Town to Ealing Common,District,Westbound,ACTON TOWN,Acton Town,500,EALING COMMON,Ealing Common,561,25950,1.03,1.50,2.00,2.00
District Westbound: Ealing Common to Ealing Broadway,District,Westbound,EALING COMMON,Ealing Common,561,EALING BROADWAY,Ealing Broadway,560,25950,1.50,3.50,3.50,3.54
District Westbound: Turnham Green to Gunnersbury,District,Westbound,TURNHAM GREEN,Turnham Green,734,GUNNERSBURY,Gunnersbury,591,25950,1.59,2.28,3.15,3.00
District Westbound: Gunnersbury to Kew Gardens,District,Westbound,GUNNERSBURY,Gunnersbury,591,KEW GARDENS,Kew Gardens,621,25950,1.71,2.43,2.50,2.50
District Westbound: Kew Gardens to Richmond,District,Westbound,KEW GARDENS,Kew Gardens,621,RICHMOND,Richmond,686,25950,2.14,4.10,3.57,3.50
District Eastbound: Ealing Broadway to Ealing Common,District,Eastbound,EALING BROADWAY,Ealing Broadway,560,EALING COMMON,Ealing Common,561,25950,1.50,2.67,3.00,3.00
District Eastbound: Ealing Common to Acton Town,District,Eastbound,EALING COMMON,Ealing Common,561,ACTON TOWN,Acton Town,500,25950,1.03,1.90,3.26,2.96
District Eastbound: Acton Town to Chiswick Park,District,Eastbound,ACTON TOWN,Acton Town,500,CHISWICK PARK,Chiswick Park,545,25950,1.22,1.80,2.00,2.00
District Eastbound: Chiswick Park to Turnham Green,District,Eastbound,CHISWICK PARK,Chiswick Park,545,TURNHAM GREEN,Turnham Green,734,25950,0.95,1.48,2.07,2.09
District Eastbound: Turnham Green to Stamford Brook,District,Eastbound,TURNHAM GREEN,Turnham Green,734,STAMFORD BROOK,Stamford Brook,713,25950,0.55,1.15,1.50,1.50
District Eastbound: Stamford Brook to Ravenscourt Park,District,Eastbound,STAMFORD BROOK,Stamford Brook,713,RAVENSCOURT PARK,Ravenscourt Park,682,25950,0.77,1.40,1.50,1.50
District Eastbound: Ravenscourt Park to Hammersmith (Dis),District,Eastbound,RAVENSCOURT PARK,Ravenscourt Park,682,HAMMERSMITH (DISTRICT),Hammersmith (Dis),593,25950,0.93,1.85,2.00,2.00
District Eastbound: Hammersmith (Dis) to Barons Court,District,Eastbound,HAMMERSMITH (DISTRICT),Hammersmith (Dis),593,BARONS COURT,Barons Court,516,25950,0.68,1.43,2.00,2.00
District Eastbound: Barons Court to West Kensington,District,Eastbound,BARONS COURT,Barons Court,516,WEST KENSINGTON,West Kensington,760,25950,0.64,1.28,1.50,1.50
District Eastbound: West Kensington to Earl's Court,District,Eastbound,WEST KENSINGTON,West Kensington,760,EARLS COURT,Earl's Court,562,25950,0.90,2.17,2.63,3.30
District Eastbound: Richmond to Kew Gardens,District,Eastbound,RICHMOND,Richmond,686,KEW GARDENS,Kew Gardens,621,25950,2.14,3.10,3.02,3.00
District Eastbound: Kew Gardens to Gunnersbury,District,Eastbound,KEW GARDENS,Kew Gardens,621,GUNNERSBURY,Gunnersbury,591,25950,1.71,2.42,3.00,3.00
District Eastbound: Gunnersbury to Turnham Green,District,Eastbound,GUNNERSBURY,Gunnersbury,591,TURNHAM GREEN,Turnham Green,734,25950,1.59,2.60,4.02,3.67
District Eastbound: Wimbledon to Wimbledon Park,District,Eastbound,WIMBLEDON,Wimbledon,767,WIMBLEDON PARK,Wimbledon Park,768,25950,1.50,2.82,3.00,3.00
District Eastbound: Wimbledon Park to Southfields,District,Eastbound,WIMBLEDON PARK,Wimbledon Park,768,SOUTHFIELDS,Southfields,705,25950,1.45,2.18,2.00,2.00
District Eastbound: Southfields to East Putney,District,Eastbound,SOUTHFIELDS,Southfields,705,EAST PUTNEY,East Putney,567,25950,1.53,2.37,2.50,2.50
District Eastbound: East Putney to Putney Bridge,District,Eastbound,EAST PUTNEY,East Putney,567,PUTNEY BRIDGE,Putney Bridge,678,25950,1.11,1.85,2.00,2.00
District Eastbound: Putney Bridge to Parsons Green,District,Eastbound,PUTNEY BRIDGE,Putney Bridge,678,PARSONS GREEN,Parsons Green,672,25950,0.95,1.92,2.00,2.00
District Eastbound: Parsons Green to Fulham Broadway,District,Eastbound,PARSONS GREEN,Parsons Green,672,FULHAM BROADWAY,Fulham Broadway,581,25950,0.79,1.48,2.00,2.00
District Eastbound: Fulham Broadway to West Brompton,District,Eastbound,FULHAM BROADWAY,Fulham Broadway,581,WEST BROMPTON,West Brompton,755,25950,0.84,1.57,1.50,1.50
District Eastbound: West Brompton to Earl's Court,District,Eastbound,WEST BROMPTON,West Brompton,755,EARLS COURT,Earl's Court,562,25950,0.60,1.42,3.44,3.24
District Eastbound: Kensington (Olympia) to Earl's Court,District,Eastbound,KENSINGTON (OLYMPIA),Kensington (Olympia),618,EARLS COURT,Earl's Court,562,25950,1.54,2.73,3.65,3.94
District Eastbound: Earl's Court to High Street Kensington,District,Eastbound,EARLS COURT,Earl's Court,562,HIGH STREET KENSINGTON,High Street Kensington,605,25950,1.26,3.05,3.58,3.12
District Eastbound: High Street Kensington to Notting Hill Gate,District,Eastbound,HIGH STREET KENSINGTON,High Street Kensington,605,NOTTING HILL GATE,Notting Hill Gate,663,25950,0.93,1.68,2.00,2.00
District Eastbound: Notting Hill Gate to Bayswater,District,Eastbound,NOTTING HILL GATE,Notting Hill Gate,663,BAYSWATER,Bayswater,517,25950,0.79,1.77,2.00,2.00
District Eastbound: Bayswater to Paddington,District,Eastbound,BAYSWATER,Bayswater,517,PADDINGTON (Dis),Paddington,670,25950,0.98,1.63,2.45,2.01
District Eastbound: Paddington to Edgware Road (Cir),District,Eastbound,PADDINGTON (Dis),Paddington,670,EDGWARE ROAD,Edgware Road (Cir),569,25950,0.82,2.15,2.50,2.50
District Eastbound: Earl's Court to Gloucester Road,District,Eastbound,EARLS COURT,Earl's Court,562,GLOUCESTER ROAD,Gloucester Road,583,25950,0.93,1.92,2.53,2.65
District Eastbound: Gloucester Road to South Kensington,District,Eastbound,GLOUCESTER ROAD,Gloucester Road,583,SOUTH KENSINGTON,South Kensington,708,25950,0.74,1.43,1.50,1.50
District Eastbound: South Kensington to Sloane Square,District,Eastbound,SOUTH KENSINGTON,South Kensington,708,SLOANE SQUARE,Sloane Square,702,25950,1.22,1.98,2.00,2.00
District Eastbound: Sloane Square to Victoria,District,Eastbound,SLOANE SQUARE,Sloane Square,702,VICTORIA,Victoria,741,25950,1.05,1.80,2.00,2.00
District Eastbound: Victoria to St. James's Park,District,Eastbound,VICTORIA,Victoria,741,ST JAMES PARK,St. James's Park,695,25950,0.72,1.42,1.50,1.50
District Eastbound: St. James's Park to Westminster,District,Eastbound,ST JAMES PARK,St. James's Park,695,WESTMINSTER,Westminster,761,25950,0.76,1.50,2.00,2.00
District Eastbound: Westminster to Embankment,District,Eastbound,WESTMINSTER,Westminster,761,EMBANKMENT,Embankment,542,25950,0.69,1.37,2.00,2.00
District Eastbound: Embankment to Temple,District,Eastbound,EMBANKMENT,Embankment,542,TEMPLE,Temple,724,25950,0.71,1.37,2.00,2.00
District Eastbound: Temple to Blackfriars,District,Eastbound,TEMPLE,Temple,724,BLACKFRIARS,Blackfriars,521,25950,0.76,1.40,2.00,2.00
District Eastbound: Blackfriars to Mansion House,District,Eastbound,BLACKFRIARS,Blackfriars,521,MANSION HOUSE,Mansion House,639,25950,0.61,1.52,1.98,1.52
District Eastbound: Mansion House to Cannon Street,District,Eastbound,MANSION HOUSE,Mansion House,639,CANNON STREET,Cannon Street,536,25950,0.31,0.98,1.00,1.00
District Eastbound: Cannon Street to Bank / Monument,District,Eastbound,CANNON STREET,Cannon Street,536,MONUMENT,Bank / Monument,513,25950,0.34,0.97,1.50,1.50
District Eastbound: Bank / Monument to Tower Hill,District,Eastbound,MONUMENT,Bank / Monument,513,TOWER HILL,Tower Hill,731,25950,0.68,1.80,2.08,2.43
District Eastbound: Tower Hill to Aldgate East,District,Eastbound,TOWER HILL,Tower Hill,731,ALDGATE EAST,Aldgate East,503,25950,0.80,1.88,2.91,2.21
District Eastbound: Aldgate East to Whitechapel,District,Eastbound,ALDGATE EAST,Aldgate East,503,WHITECHAPEL,Whitechapel,763,25950,0.82,2.17,2.72,2.76
District Eastbound: Whitechapel to Stepney Green,District,Eastbound,WHITECHAPEL,Whitechapel,763,STEPNEY GREEN,Stepney Green,715,25950,1.00,2.05,2.00,2.00
District Eastbound: Stepney Green to Mile End,District,Eastbound,STEPNEY GREEN,Stepney Green,715,MILE END,Mile End,642,25950,1.05,1.73,2.00,2.00
District Eastbound: Mile End to Bow Road,District,Eastbound,MILE END,Mile End,642,BOW ROAD,Bow Road,528,25950,0.55,1.27,1.51,1.50
District Eastbound: Bow Road to Bromley-by-Bow,District,Eastbound,BOW ROAD,Bow Road,528,BROMLEY BY BOW,Bromley-by-Bow,530,25950,1.01,2.12,2.00,2.00
District Eastbound: Bromley-by-Bow to West Ham,District,Eastbound,BROMLEY BY BOW,Bromley-by-Bow,530,WEST HAM,West Ham,757,25950,1.37,2.00,2.00,2.00
District Eastbound: West Ham to Plaistow,District,Eastbound,WEST HAM,West Ham,757,PLAISTOW,Plaistow,676,25950,0.76,1.43,2.04,2.00
District Eastbound: Plaistow to Upton Park,District,Eastbound,PLAISTOW,Plaistow,676,UPTON PARK,Upton Park,739,25950,1.29,1.97,2.00,2.00
District Eastbound: Upton Park to East Ham,District,Eastbound,UPTON PARK,Upton Park,739,EAST HAM,East Ham,566,25950,1.40,2.02,2.00,2.00
District Eastbound: East Ham to Barking,District,Eastbound,EAST HAM,East Ham,566,BARKING,Barking,514,25950,2.29,3.78,3.90,4.06
District Eastbound: Barking to Upney,District,Eastbound,BARKING,Barking,514,UPNEY,Upney,738,25950,1.38,1.97,2.05,2.01
District Eastbound: Upney to Becontree,District,Eastbound,UPNEY,Upney,738,BECONTREE,Becontree,518,25950,1.87,2.33,2.50,2.51
District Eastbound: Becontree to Dagenham Heathway,District,Eastbound,BECONTREE,Becontree,518,DAGENHAM HEATHWAY,Dagenham Heathway,556,25950,1.37,1.88,2.50,2.51
District Eastbound: Dagenham Heathway to Dagenham East,District,Eastbound,DAGENHAM HEATHWAY,Dagenham Heathway,556,DAGENHAM EAST,Dagenham East,555,25950,1.35,1.85,2.22,2.30
District Eastbound: Dagenham East to Elm Park,District,Eastbound,DAGENHAM EAST,Dagenham East,555,ELM PARK,Elm Park,571,25950,2.37,2.85,3.00,3.00
District Eastbound: Elm Park to Hornchurch,District,Eastbound,ELM PARK,Elm Park,571,HORNCHURCH,Hornchurch,610,25950,1.50,2.05,2.50,2.50
District Eastbound: Hornchurch to Upminster Bridge,District,Eastbound,HORNCHURCH,Hornchurch,610,UPMINSTER BRIDGE,Upminster Bridge,737,25950,1.26,1.77,2.00,2.00
District Eastbound: Upminster Bridge to Upminster,District,Eastbound,UPMINSTER BRIDGE,Upminster Bridge,737,UPMINSTER,Upminster,736,25950,1.24,2.32,2.03,2.01
